schema_version,entity_label_id,source_item_id,narrative_id,label_text,normalized_text,language_or_dialect,label_type,supplied_by,source_context,entity_concept_id,normalization_status,review_status
2.0.0,1,1,1,Yowie,yowie,,exact_name,source_or_legacy_coding,The Yowie is one of several names for an Australian folklore entity that is reputed to live in the Outback. The creature has origins in Aboriginal oral history.,1,preserved_source_label,pending
2.0.0,2,2,2,Yara-ma-yha-who,yara-ma-yha-who,,exact_name,source_or_legacy_coding,"The Yara-ma-yha-who is a legendary vampiric monster found in Southeastern Australian Aboriginal mythology. The legend is recounted by David Unaipon. According to legend, the creature resembles a little red frog-like man with a very big head, a large mouth with no teeth and suckers on the ends of its hands and feet.",2,preserved_source_label,pending
2.0.0,3,3,3,Wandjina,wandjina,,exact_name,source_or_legacy_coding,"The Wandjina, also written Wanjina and Wondjina and also known as Gulingi, are cloud and rain spirits in the beliefs of the Wanjina Wunggurr cultural bloc of Aboriginal Australians, depicted prominently in rock art in northwestern Australia. Some of the artwork in the Kimberley region of Western Australia dates back to approximately 4,000 years ago. Another closely related spirit entity is the creator being Wunngurr, a being analogous to the Rainbow Serpent in other Aboriginal peoples' belief systems, but with a different interpretation.",2,preserved_source_label,pending
2.0.0,4,4,,Bunyip,bunyip,,compiler_supplied_label,source_or_legacy_coding,"The bunyip is a creature from the aboriginal mythology of southeastern Australia, said to lurk in swamps, billabongs, creeks, riverbeds and waterholes.",3,preserved_source_label,pending
2.0.0,5,5,,Drop bear,drop bear,,compiler_supplied_label,source_or_legacy_coding,"The drop bear is a hoax in contemporary Australian folklore featuring a predatory, carnivorous version of the koala. This imaginary animal is commonly spoken about in tall tales designed to scare tourists. While koalas are typically docile herbivores, drop bears are described as unusually large and vicious marsupials that inhabit treetops and attack unsuspecting people that walk beneath them by dropping onto their heads from above.",3,preserved_source_label,pending
2.0.0,6,6,4,Yowie,yowie,,exact_name,source_or_legacy_coding,"When it comes to tourism, the small town of Kilcoy may not have reefs or rainforests, but it does have the yowie.",1,preserved_source_label,pending
2.0.0,7,7,5,Nargun,nargun,,exact_name,source_or_legacy_coding,"A Nargun, according to Gunai/Kurnai tribal legends, was a fierce half-human half-stone creature that lived in the Den of Nargun, a cave under a rock overhang behind a small waterfall located in the Mitchell River National Park, Victoria, Australia. Aboriginal legend describes the Nargun as a beast entirely made of stone except for its hands, arms and breast. The fierce creature would drag unwary travellers into its den. Any weapon directed against it would be turned back on its owner.",2,preserved_source_label,pending
2.0.0,8,8,6,Yowie,yowie,,exact_name,source_or_legacy_coding,"Public AYR report page for Kalamundra, Western Australia 1983. Source-stated location: Kalamundra (Canning Dam), Western Australia.. Event field: Yowie Sighting. Body excerpt retained for review: Source: Pinkey Report, (John Pinkey investigates the increadible).",1,preserved_source_label,pending
2.0.0,9,9,7,Yowie,yowie,,exact_name,source_or_legacy_coding,"Public AYR report page for Australind, Western Australia 1991. Source-stated location: Australind, Western Australia. Event field: Yowie Sighting. Body excerpt retained for review: There’s a river there that runs through Australind, and its all paddocks on one side and bush land on the other. I used to go down there to swim nearly every day during summer while in High School.",1,preserved_source_label,pending
2.0.0,10,10,8,Yowie,yowie,,exact_name,source_or_legacy_coding,"Public AYR report page for Exmouth, Western Australia 1993. Source-stated location: Exmouth, Western Australia. Event field: Yowie Sighting. Body excerpt retained for review: A friend and I had a long, face to face encounter with a Yowie in Exmouth Western Australia back in 1993....",1,preserved_source_label,pending
2.0.0,11,11,9,Yowie,yowie,,exact_name,source_or_legacy_coding,"Public AYR report page for Coral Bay, Western Australia 2000. Source-stated location: Corel Bay, Western Australia. Event field: Yowie Attack. Body excerpt retained for review: This is a story my best friend who is an airline pilot told me, he doesn’t have any reason to lie the story is too bizarre to be crap in my opinion.",1,preserved_source_label,pending
2.0.0,12,12,10,Yowie,yowie,,exact_name,source_or_legacy_coding,"Public AYR report page for Lancedin, Western Australia 2000. Source-stated location: Lancelin, Western Australia. Event field: A ‘something’ Sighting. Body excerpt retained for review: I didn’t encounter a yowie it was something else.",1,preserved_source_label,pending
2.0.0,13,13,11,Yowie,yowie,,exact_name,source_or_legacy_coding,"Public AYR report page for Greenbushes, Western Australia 2008. Source-stated location: Greenbushes, Western Australia. Event field: Yowie Sighting. Body excerpt retained for review: {Report compiled by two Witness accounts}",1,preserved_source_label,pending
2.0.0,14,14,12,Yowie,yowie,,exact_name,source_or_legacy_coding,"Public AYR report page for Donnybrook, Western Australia 2011. Source-stated location: Donnybrook, Western Australia. Event field: Yowie Sighting. Body excerpt retained for review: I was heading towards the tip, going up the hill. There was a guy coming down the hill and we both saw it at the same time. When I stopped, he stopped and he was watching it run down the hill too.",1,preserved_source_label,pending
2.0.0,15,15,13,Yowie,yowie,,exact_name,source_or_legacy_coding,"Public AYR report page for Mandurah, Western Australia 2011. Source-stated location: Mandurah, Western Australia. Event field: Yowie Sighting. Body excerpt retained for review: I was driving home from Bunbury with my girlfriend in the car. We had just come off the freeway and heading towards a petrol station and on the right is a location named Black Lake or Black Salt Lake.",1,preserved_source_label,pending
2.0.0,16,16,14,Yowie,yowie,,exact_name,source_or_legacy_coding,"Public AYR report page for Jarrahdale, Western Australia 2020. Source-stated location: Jarrahdale, Western Australia. Event field: Yowie Sighting. Body excerpt retained for review: I’ve camped at this dam previously and I’ve had no experiences but very little animal activity. There’s no kangaroos out there, there’s no wallabies there’s nothing. I was out there by myself, there’s no walking tracks, there’s one four-wheel drive track that only leads maybe 500 metres into the bush and at the end of that there’s a wild pig track. Once you...",1,preserved_source_label,pending
2.0.0,17,17,15,Yowie,yowie,,exact_name,source_or_legacy_coding,"Public AYR report page for Alcoa Wetlands, Western Australia 2022. Source-stated location: Alcoa Wetlands, Western Australia. Event field: Yowie Sighting. Body excerpt retained for review: [Adams second sighting. First sighting at Mount Dale in 2021]",1,preserved_source_label,pending
2.0.0,18,18,16,Yowie,yowie,,exact_name,source_or_legacy_coding,"Public AYR report page for Willunga, South Australia 1992. Source-stated location: Willunga, South of Adelaide. Event field: Sighting. Body excerpt retained for review: I was on a scout camp in the hope forest area, near Willunga and Kuipto forest (south of Adelaide). I was asleep and in the morning I was told of the scouts had gone wandering but scared away by a scruffy large man that screamed at them.",1,preserved_source_label,pending
